# torque;speed;phase_a;phase_b;phase_c;angle;encoder;rotations;voltage;temperature
2.343750000000000000e-02;3.019999999999999929e+01;-1.250000000000000000e-01;2.187500000000000000e-01;-9.375000000000000000e-02;9.970000000000000639e+00;4.700000000000000000e+02;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;3.500000000000000000e+01;3.125000000000000000e-02;4.687500000000000000e-02;-7.812500000000000000e-02;1.785999999999999943e+01;8.360000000000000000e+02;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-1.757812500000000000e-02;4.710000000000000142e+01;-6.250000000000000000e-02;-1.562500000000000000e-02;7.812500000000000000e-02;2.649000000000000199e+01;1.234000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;4.639999999999999858e+01;-3.125000000000000000e-02;0.000000000000000000e+00;3.125000000000000000e-02;3.486999999999999744e+01;1.610000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;3.279999999999999716e+01;-1.562500000000000000e-01;-7.812500000000000000e-02;2.343750000000000000e-01;4.350000000000000000e+01;1.993000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.273437500000000000e-02;2.950000000000000000e+01;-2.343750000000000000e-01;1.093750000000000000e-01;1.250000000000000000e-01;5.175999999999999801e+01;2.371000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.394531250000000000e-02;2.539999999999999858e+01;-1.093750000000000000e-01;9.375000000000000000e-02;1.562500000000000000e-02;6.145000000000000284e+01;2.814000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;2.619999999999999929e+01;1.562500000000000000e-02;6.250000000000000000e-02;-7.812500000000000000e-02;6.998000000000000398e+01;3.201000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.394531250000000000e-02;2.810000000000000142e+01;2.968750000000000000e-01;-1.250000000000000000e-01;-1.718750000000000000e-01;7.901000000000000512e+01;3.618000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-5.859375000000000000e-03;2.889999999999999858e+01;-9.375000000000000000e-02;1.562500000000000000e-02;7.812500000000000000e-02;8.945000000000000284e+01;4.094000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
